ID,MNAIS,AGEXACTM,DEPDOM,AGEXACTP,count
1,12,34,99,40,4
2,10,37,99,34,4
7,10,28,99,23,1
8,5,46,99,46,2
16,4,35,99,42,5
20,7,36,99,32,1
22,9,42,99,43,1
24,9,37,99,44,5
25,9,40,99,43,2
26,9,28,99,39,3
27,10,43,99,36,1
30,8,39,99,43,4
33,10,32,99,30,5
36,7,27,99,41,5
41,2,24,99,40,2
44,4,28,99,27,5
48,9,27,99,35,4
56,1,35,99,45,4
66,10,39,99,37,2
67,1,37,99,39,5
70,1,34,99,31,5
71,2,23,99,25,1
72,2,39,99,45,2
80,3,41,99,41,4
83,4,26,99,43,3
85,4,28,99,26,2
87,4,44,99,33,1
89,5,36,99,34,5
90,5,29,99,35,5
92,5,33,99,45,3
97,6,21,99,21,2
99,6,27,99,37,5
102,7,42,99,26,1
103,7,25,99,36,2
104,6,40,99,28,1
108,7,38,99,40,5
110,8,35,99,32,4
112,8,32,99,40,2
115,8,27,99,36,4
117,8,24,99,29,3
121,9,26,99,31,3
124,10,26,99,26,4
125,10,36,99,31,1
127,10,31,99,41,3
138,7,24,99,39,2
139,8,27,99,35,4
145,9,33,99,43,3
146,9,24,99,25,3
152,4,24,99,23,2
153,5,29,99,42,2
154,8,26,99,38,2
156,8,24,99,20,1
160,4,24,99,40,2
162,6,26,99,26,4
164,7,20,99,26,2
168,10,33,99,29,3
173,11,39,99,40,4
176,2,34,99,43,1
178,5,22,99,22,1
182,8,27,99,41,5
185,1,19,99,28,2
189,2,22,99,38,1
193,4,34,99,26,1
194,4,27,99,36,4
195,4,32,99,45,1
196,4,31,99,44,4
199,5,22,99,26,4
205,6,28,99,41,3
207,7,25,99,28,4
208,7,21,99,30,2
209,7,21,99,30,2
210,7,27,99,44,2
212,7,20,99,26,2
213,7,27,99,41,5
215,8,25,99,41,2
216,8,25,99,28,4
220,9,23,99,24,1
221,8,36,99,35,5
225,10,18,99,27,1
229,11,31,99,29,3
230,11,33,99,22,1
232,11,37,99,34,4
233,11,29,99,34,5
236,12,26,99,34,5
237,12,35,99,44,3
238,12,36,99,34,5
241,1,33,99,39,4
244,12,22,99,33,2
251,12,18,99,28,1
252,12,19,99,31,1
253,1,38,99,36,5
255,7,39,99,40,4
256,7,35,99,44,3
258,11,37,99,34,4
261,8,31,99,29,3
262,2,40,99,45,5
266,1,26,99,26,4
270,4,36,99,44,1
271,6,41,99,40,2
277,10,27,99,37,5
279,11,37,99,33,3
281,6,33,99,30,4
284,6,38,99,30,1
288,8,42,99,45,3
292,9,36,99,43,3
294,10,40,99,40,3
300,8,39,99,42,5
308,3,27,99,37,5
311,8,40,99,43,2
312,1,26,99,30,4
314,8,31,99,29,3
315,12,34,99,31,5
316,9,38,99,36,5
323,3,36,99,35,5
326,12,35,99,28,3
327,5,34,99,32,5
332,3,17,99,19,2
339,8,38,99,45,2
343,8,41,99,41,4
344,9,35,99,44,3
345,10,31,99,43,4
348,1,42,99,32,1
349,2,34,99,44,5
357,6,38,99,43,4
367,11,30,99,37,5
370,11,42,99,45,3
371,12,43,99,31,1
377,1,33,99,31,3
378,11,37,99,34,4
381,8,29,99,34,5
387,2,38,99,36,5
388,2,35,99,42,5
389,3,42,99,45,3
390,5,19,99,24,3
391,5,42,99,41,2
394,9,30,99,44,2
399,10,28,99,27,5
405,8,32,99,44,4
407,8,41,99,37,1
410,1,26,99,34,5
420,6,39,99,39,3
426,10,26,99,36,2
